Chave Secundária    ,Chave               ,Categorias                                                                                          ,
143                 ,612                 ,['Legislative calendars']                                                                           
144                 ,613                 ,['Sex (Psychology)']                                                                                
145                 ,616                 , vidalia
146                 ,619                 ,['Firearms owners']                                                                                 
0                   ,623                 ,2001-02                                                                                             
0                   ,624                 ,2013-06-01                                                                                          
147                 ,625                 ,Elt Press                                                                                           
0                   ,626                 ,1813                                                                                                
148                 ,630                 ,['Katy
0                   ,631                 ,2020-01-31                                                                                          
0                   ,637                 ,2007-07-03                                                                                          
0                   ,639                 ,2007-12-11                                                                                          
149                 ,643                 ,Martingale & Company Incorporated                                                                   
0                   ,644                 ,2011-12-02                                                                                          
150                 ,645                 ,['Baptism']                                                                                         
0                   ,649                 ,2012-01-01                                                                                          
0                   ,652                 ,2009-05-01                                                                                          
0                   ,654                 ,2005-04-21                                                                                          
151                 ,656                 ,Turtle Point                                                                                        
152                 ,658                 ,['Hydrology']                                                                                       
153                 ,661                 ,['Science fiction']                                                                                 
154                 ,663                 ,['Agricultural chemistry']                                                                          
155                 ,667                 ,Georgetown University Press                                                                         
156                 ,668                 ,['Technology & Engineering']                                                                        
157                 ,670                 ,H B S Press                                                                                         
158                 ,671                 ,['Devil']                                                                                           
0                   ,675                 , Kings Canyon and Sequoia                                                                                                                                                                                                                                                                                                                                                                                                           
159                 ,680                 ,['Diazepam']                                                                                        
160                 ,683                 ,Patient-Centered Guides                                                                             
0                   ,685                 , 'Joanna Bourke']                                                                                                                                                                                                                                                                                                                                                                         
0                   ,686                 ,2000-09                                                                                             
161                 ,687                 ,['Arthurian romances']                                                                              
162                 ,689                 ,['Class actions (Civil procedure)']                                                                 
0                   ,690                 ,1889                                                                                                
0                   ,694                 ,1928                                                                                                
163                 ,696                 ,Routledge                                                                                           
164                 ,698                 ,['Study Aids']                                                                                      
165                 ,699                 ,['Science']                                                                                         
166                 ,701                 ,John Wiley & Sons                                                                                   
167                 ,705                 ,['Young Adult Fiction']                                                                             
168                 ,706                 ,['Pets']                                                                                            
169                 ,708                 ,De Bezige Bij Amsterdam                                                                             
170                 ,710                 ,Manchester University Press                                                                         
171                 ,712                 ,['Nuclear arms control']                                                                            
172                 ,714                 ,['Fancy work']                                                                                      
173                 ,728                 ,['Natural history']                                                                                 
174                 ,730                 ,['Artists
175                 ,732                 ,['Ethnology in the Bible']                                                                          
0                   ,736                 ,1968                                                                                                
0                   ,738                 ,2004-09-15                                                                                          
0                   ,743                 ,1972                                                                                                
176                 ,744                 ,['Youth']                                                                                           
0                   ,746                 , 'Steve Derné']                                                                                                                                                                                                                                                                                                                                                                                  
0                   ,755                 ,1884                                                                                                
0                   ,756                 ,2020-06-03                                                                                          
