Avaliação           ,Chave               
2.0                 ,3440                
3.0                 ,3447                
1.0                 ,3463                
205.0               ,3468                
1.0                 ,3477                
1.0                 ,3488                
1.0                 ,3490                
16.0                ,3498                
1.0                 ,3499                
4.0                 ,3500                
1.0                 ,3504                
1.0                 ,3524                
1.0                 ,3525                
3.0                 ,3535                
2.0                 ,3538                
24.0                ,3545                
1.0                 ,3552                
1.0                 ,3553                
1.0                 ,3557                
13.0                ,3558                
17.0                ,3559                
3.0                 ,3575                
1.0                 ,3580                
1.0                 ,3584                
60.0                ,3587                
14.0                ,3593                
15.0                ,3617                
2.0                 ,3622                
8.0                 ,3624                
1.0                 ,3625                
116.0               ,3630                
2.0                 ,3633                
4.0                 ,3642                
37.0                ,3649                
1.0                 ,3651                
285.0               ,3666                
1.0                 ,3669                
1.0                 ,3676                
3.0                 ,3679                
2861.0              ,3688                
17.0                ,3690                
1.0                 ,3697                
1.0                 ,3699                
1.0                 ,3701                
3.0                 ,3703                
3.0                 ,3709                
1.0                 ,3727                
10.0                ,3729                
3.0                 ,3732                
3.0                 ,3738                
3.0                 ,3749                
4.0                 ,3755                
3.0                 ,3759                
4.0                 ,3764                
6.0                 ,3774                
3.0                 ,3778                
2.0                 ,3787                
9.0                 ,3796                
2.0                 ,3798                
1.0                 ,3801                
1.0                 ,3804                
21.0                ,3806                
2.0                 ,3824                
2.0                 ,3832                
4.0                 ,3837                
13.0                ,3839                
1.0                 ,3844                
13.0                ,3845                
2.0                 ,3860                
3.0                 ,3873                
1.0                 ,3878                
3.0                 ,3882                
12.0                ,3893                
1.0                 ,3894                
5.0                 ,3902                
3.0                 ,3904                
1.0                 ,3931                
1.0                 ,3953                
1.0                 ,3962                
2.0                 ,3966                
1.0                 ,3970                
1.0                 ,3972                
2.0                 ,3986                
4.0                 ,3989                
3.0                 ,3993                
2.0                 ,4009                
1.0                 ,4014                
2.0                 ,4015                
1.0                 ,4028                
1.0                 ,4039                
2.0                 ,4042                
11.0                ,4057                
6.0                 ,4060                
3.0                 ,4072                
1.0                 ,4074                
1.0                 ,4088                
6.0                 ,4096                
14.0                ,4100                
2.0                 ,4102                
7.0                 ,4106                
1.0                 ,4113                
12.0                ,4114                
11.0                ,4115                
9.0                 ,4117                
1.0                 ,4135                
3.0                 ,4137                
15.0                ,4157                
5.0                 ,4169                
1.0                 ,4173                
31.0                ,4181                
2.0                 ,4184                
1.0                 ,4192                
12.0                ,4194                
15.0                ,4199                
7.0                 ,4202                
1.0                 ,4210                
1.0                 ,4213                
9.0                 ,4218                
5.0                 ,4220                
1.0                 ,4225                
1.0                 ,4228                
3.0                 ,4237                
1.0                 ,4238                
37.0                ,4239                
1.0                 ,4255                
1.0                 ,4257                
1.0                 ,4271                
1.0                 ,4294                
2.0                 ,4301                
4.0                 ,4314                
2.0                 ,4315                
1.0                 ,4324                
12.0                ,4332                
9.0                 ,4333                
88.0                ,4340                
2.0                 ,4355                
9.0                 ,4371                
2.0                 ,4373                
1.0                 ,4378                
8.0                 ,4390                
15.0                ,4394                
21.0                ,4395                
3.0                 ,4396                
4.0                 ,4413                
1.0                 ,4417                
1.0                 ,4423                
39.0                ,4426                
12.0                ,4435                
2.0                 ,4443                
2.0                 ,4445                
1.0                 ,4461                
1.0                 ,4463                
2.0                 ,4469                
2.0                 ,4481                
1.0                 ,4484                
4.0                 ,4485                
7.0                 ,4491                
2.0                 ,4496                
11.0                ,4503                
17.0                ,4512                
1.0                 ,4514                
21.0                ,4516                
1.0                 ,4521                
1.0                 ,4541                
1.0                 ,4545                
9.0                 ,4555                
5.0                 ,4559                
2.0                 ,4562                
16.0                ,4566                
1.0                 ,4575                
2.0                 ,4582                
1.0                 ,4587                
1.0                 ,4591                
1.0                 ,4592                
6.0                 ,4616                
2.0                 ,4622                
2.0                 ,4627                
6.0                 ,4629                
1.0                 ,4634                
1.0                 ,4636                
1.0                 ,4654                
1.0                 ,4656                
5.0                 ,4658                
1.0                 ,4659                
1.0                 ,4661                
1.0                 ,4664                
4.0                 ,4669                
15.0                ,4678                
54.0                ,4679                
1.0                 ,4684                
2.0                 ,4695                
2.0                 ,4700                
2.0                 ,4703                
1.0                 ,4712                
1.0                 ,4727                
10.0                ,4733                
21.0                ,4738                
1.0                 ,4740                
34.0                ,4748                
29.0                ,4749                
4.0                 ,4753                
75.0                ,4767                
2.0                 ,4775                
7.0                 ,4781                
50.0                ,4784                
1.0                 ,4787                
2.0                 ,4788                
24.0                ,4802                
9.0                 ,4806                
1.0                 ,4814                
14.0                ,4818                
2.0                 ,4838                
4.0                 ,4844                
7.0                 ,4849                
1.0                 ,4851                
9.0                 ,4866                
9.0                 ,4867                
3.0                 ,4872                
1.0                 ,4881                
9.0                 ,4886                
13.0                ,4890                
3.0                 ,4894                
7.0                 ,4900                
1.0                 ,4902                
3.0                 ,4909                
1.0                 ,4910                
3.0                 ,4913                
3.0                 ,4916                
2.0                 ,4929                
13.0                ,4935                
1.0                 ,4940                
1.0                 ,4946                
1.0                 ,4947                
2.0                 ,4955                
3.0                 ,4960                
1.0                 ,4961                
24.0                ,4977                
1.0                 ,4987                
4.0                 ,4989                
16.0                ,4992                
1.0                 ,4993                
6.0                 ,5002                
4.0                 ,5007                
9.0                 ,5012                
2.0                 ,5014                
39.0                ,5026                
1.0                 ,5028                
1.0                 ,5039                
1.0                 ,5041                
6.0                 ,5048                
2.0                 ,5051                
2.0                 ,5060                
9.0                 ,5063                
18.0                ,5064                
43.0                ,5065                
1.0                 ,5073                
1.0                 ,5096                
2.0                 ,5107                
1.0                 ,5110                
2.0                 ,5116                
2.0                 ,5132                
4.0                 ,5146                
1.0                 ,5161                
1.0                 ,5169                
7.0                 ,5190                
1.0                 ,5191                
1.0                 ,5195                
4.0                 ,5197                
2.0                 ,5205                
1.0                 ,5208                
2.0                 ,5216                
1.0                 ,5219                
6.0                 ,5221                
3.0                 ,5223                
1.0                 ,5226                
3.0                 ,5228                
1.0                 ,5229                
1.0                 ,5242                
1.0                 ,5243                
1.0                 ,5246                
3.0                 ,5247                
1.0                 ,5263                
13.0                ,5269                
3.0                 ,5285                
5.0                 ,5290                
2.0                 ,5293                
3.0                 ,5310                
13.0                ,5311                
8.0                 ,5316                
1.0                 ,5318                
2.0                 ,5319                
2.0                 ,5329                
3.0                 ,5335                
2.0                 ,5344                
1.0                 ,5352                
1.0                 ,5353                
2.0                 ,5369                
2.0                 ,5371                
1.0                 ,5373                
1.0                 ,5382                
1.0                 ,5387                
18.0                ,5388                
2.0                 ,5392                
2.0                 ,5396                
1.0                 ,5400                
2.0                 ,5402                
3.0                 ,5414                
17.0                ,5420                
4.0                 ,5423                
8.0                 ,5426                
1.0                 ,5434                
1.0                 ,5463                
1.0                 ,5465                
1.0                 ,5467                
12.0                ,5469                
1.0                 ,5480                
1.0                 ,5481                
5.0                 ,5491                
1.0                 ,5492                
2.0                 ,5496                
2.0                 ,5497                
1.0                 ,5510                
14.0                ,5512                
1.0                 ,5526                
5.0                 ,5531                
1.0                 ,5543                
15.0                ,5545                
5.0                 ,5547                
46.0                ,5566                
2.0                 ,5571                
5.0                 ,5595                
1.0                 ,5598                
2.0                 ,5599                
1.0                 ,5609                
 V. 2.)                                                                                                                                                                                                                                                                                                                                                                     ,5618                
4.0                 ,5619                
23.0                ,5633                
1.0                 ,5640                
1.0                 ,5645                
1.0                 ,5657                
2.0                 ,5669                
1.0                 ,5678                
1.0                 ,5683                
1.0                 ,5688                
1.0                 ,5701                
1.0                 ,5705                
2.0                 ,5710                
1.0                 ,5735                
4.0                 ,5743                
2.0                 ,5749                
1.0                 ,5754                
1.0                 ,5760                
3.0                 ,5762                
1.0                 ,5772                
1.0                 ,5776                
5.0                 ,5778                
1.0                 ,5782                
4.0                 ,5783                
2.0                 ,5785                
1.0                 ,5788                
3.0                 ,5794                
1.0                 ,5798                
1.0                 ,5799                
2420.0              ,5800                
2.0                 ,5812                
4.0                 ,5813                
2.0                 ,5820                
1.0                 ,5830                
2.0                 ,5834                
141.0               ,5836                
2.0                 ,5838                
3.0                 ,5841                
16.0                ,5862                
9.0                 ,5884                
8.0                 ,5888                
1.0                 ,5890                
6.0                 ,5891                
9.0                 ,5894                
1.0                 ,5896                
19.0                ,5899                
24.0                ,5900                
3.0                 ,5907                
3.0                 ,5910                
1.0                 ,5912                
8.0                 ,5917                
1.0                 ,5935                
3.0                 ,5939                
3.0                 ,5943                
7.0                 ,5944                
1.0                 ,5946                
11.0                ,5948                
1.0                 ,5968                
36.0                ,5981                
3.0                 ,5985                
13.0                ,5995                
1.0                 ,6002                
2.0                 ,6006                
8.0                 ,6007                
2.0                 ,6012                
2.0                 ,6014                
1.0                 ,6016                
2.0                 ,6031                
10.0                ,6036                
1.0                 ,6040                
1.0                 ,6044                
6.0                 ,6045                
1.0                 ,6052                
1.0                 ,6058                
5.0                 ,6059                
1.0                 ,6071                
2.0                 ,6080                
1.0                 ,6081                
3.0                 ,6083                
1.0                 ,6086                
1.0                 ,6093                
1.0                 ,6108                
3.0                 ,6109                
1.0                 ,6113                
25.0                ,6116                
1.0                 ,6119                
4.0                 ,6122                
1.0                 ,6123                
2.0                 ,6137                
1.0                 ,6146                
2.0                 ,6150                
3.0                 ,6157                
8.0                 ,6158                
2.0                 ,6166                
3.0                 ,6168                
16.0                ,6173                
12.0                ,6181                
17.0                ,6183                
1.0                 ,6191                
4.0                 ,6196                
3.0                 ,6201                
58.0                ,6206                
4.0                 ,6215                
1.0                 ,6217                
1.0                 ,6235                
95.0                ,6237                
1.0                 ,6238                
2.0                 ,6240                
2.0                 ,6244                
5.0                 ,6248                
2.0                 ,6251                
3.0                 ,6257                
1.0                 ,6263                
1.0                 ,6268                
5.0                 ,6270                
2.0                 ,6275                
2.0                 ,6276                
1.0                 ,6278                
2.0                 ,6281                
1.0                 ,6289                
1.0                 ,6291                
1.0                 ,6297                
1.0                 ,6300                
1.0                 ,6301                
2.0                 ,6304                
1.0                 ,6311                
1.0                 ,6312                
2.0                 ,6313                
14.0                ,6321                
2.0                 ,6330                
